EEGFp1_REF,EEGF3_REF,EEGC3_REF,EEGP3_REF,EEGO1_REF,EEGF7_REF,EEGT3_REF,EEGT5_REF,EEGCz_REF
-7.62589,18.6192,28.2322,43.9488,45.9324,28.5374,38.9134,63.0222,12.5157
-9.15177,11.295,21.8236,37.5401,36.1668,21.671,31.7418,58.292,7.93806
-14.1872,12.8209,19.2296,34.9461,33.2676,20.6028,31.284,49.1368,6.10701
-15.5605,19.8399,24.5701,38.9134,36.1668,25.0279,31.8943,47.0005,7.63289
-14.1872,17.2459,30.2159,41.3548,26.7064,19.9925,22.7391,44.7117,11.7528
-9.15177,25.0279,36.472,48.679,39.3711,24.7227,26.8589,43.491,19.3821
-10.0673,18.6192,30.0633,39.3711,20.4503,18.9244,16.9407,37.8453,15.5675
-12.6613,17.0933,24.4175,35.0987,28.8426,19.9925,20.2977,46.2376,11.1424
-10.0673,20.7554,27.1641,41.66,46.085,24.7227,30.0633,58.5972,14.4993
-6.86295,14.9571,27.0115,40.7444,34.4883,19.9925,28.3848,58.7498,16.483
-5.94742,21.5184,29.3004,44.254,45.1695,28.0796,37.2349,61.8015,19.2296
-8.38883,18.9244,28.9952,41.9651,36.0142,28.5374,32.0469,61.3438,19.3821
-6.71036,22.2813,29.7581,44.1014,42.4229,34.1832,36.1668,62.1067,23.1968
-4.72672,26.5538,28.9952,45.0169,40.7444,36.9297,37.6927,58.7498,27.4693
-5.18448,19.8399,26.5538,39.6763,25.4857,27.7745,27.4693,52.7989,25.7908
-2.74308,27.9271,34.3357,46.5428,43.7962,34.7935,34.3357,56.3084,28.5374
-4.26896,27.6219,38.9134,46.5428,30.6736,34.4883,29.3004,52.7989,30.6736
-3.81119,30.2159,42.4229,50.5101,36.9297,36.472,33.878,53.4092,32.1995
-0.912027,31.1314,45.0169,57.5291,46.5428,37.2349,38.6082,58.9024,29.9107
-2.74308,22.7391,43.7962,59.3601,37.5401,29.7581,34.7935,61.4964,24.265
-3.65861,27.9271,47.4583,70.0413,58.9024,34.7935,44.254,66.8369,24.4175
-4.72672,22.1287,43.1858,67.7525,51.7308,27.6219,34.6409,61.8015,23.1968
-2.28532,25.3331,41.0496,65.7688,56.7662,28.3848,35.2513,61.8015,26.096
-0.301676,30.8262,42.4229,63.3274,54.1722,34.4883,38.7608,65.3111,28.9952
-5.33707,20.7554,37.2349,49.4419,29.3004,28.0796,29.9107,62.2593,24.5701
-6.2526,24.5701,35.709,44.254,38.1504,33.4202,35.2513,62.8697,25.0279
-3.81119,23.0443,32.5047,36.7772,27.9271,31.8943,25.9434,56.9187,24.7227
-0.301676,25.0279,32.1995,36.7772,34.9461,33.5728,24.1124,53.5618,25.3331
0.613851,25.4857,32.5047,38.1504,32.1995,33.2676,23.6546,49.4419,29.6055
-1.98014,20.2977,31.8943,37.2349,14.8045,26.2486,18.4666,43.491,34.7935
0.613851,33.7254,43.1858,53.867,37.6927,35.2513,33.2676,50.9678,43.6436
-0.301676,30.8262,46.6954,59.6653,30.5211,30.8262,30.2159,51.273,42.5755
-8.23624,19.9925,36.6246,54.3247,34.3357,23.6546,23.9598,42.7281,31.5892
-8.54142,14.6519,28.2322,46.5428,37.8453,21.8236,18.1614,37.2349,25.1805
1.52938,11.4476,23.8072,32.3521,13.2786,21.0606,8.54842,34.7935,21.8236
7.17513,20.6028,21.3658,23.1968,7.93806,33.115,9.31135,30.5211,17.2459
1.83455,18.0089,17.8563,13.7364,-8.694,30.3685,-2.74308,18.6192,13.889
0.919027,22.4339,21.3658,17.0933,6.2596,31.1314,2.13973,20.6028,20.1451
