EEGFp2_REF,EEGF4_REF,EEGC4_REF,EEGP4_REF,EEGO2_REF,EEGF8_REF,EEGT4_REF,EEGT6_REF,EEGCz_REF
7.4803,-10.3725,12.0579,-6.10001,3.51302,-6.10001,-1.06461,0.613851,-13.2716
4.88631,-16.3234,4.27596,-15.5605,-7.01554,-11.4406,-7.62589,-6.10001,-18.307
2.59749,-18.307,-1.2172,-24.258,-22.1217,-15.713,-14.9501,-18.0019,-19.9855
3.20784,-15.1027,-1.36979,-27.9201,-35.0917,-17.6967,-21.3588,-29.4459,-16.7812
3.51302,-15.2553,0.766439,-26.6994,-41.5004,-20.1381,-25.9364,-37.5331,-12.9665
2.13973,-19.2226,1.98714,-21.8166,-36.6176,-21.5114,-25.9364,-37.5331,-10.6776
2.29232,-19.8329,2.29232,-16.7812,-27.1571,-19.9855,-22.8847,-32.3451,-10.3725
4.12337,-16.9337,3.51302,-14.3398,-23.3424,-17.2389,-20.1381,-30.3615,-12.3561
4.12337,-16.3234,7.17513,-11.288,-19.8329,-14.9501,-16.476,-26.6994,-15.5605
1.37679,-18.4596,8.39583,-8.38883,-11.7458,-13.882,-12.3561,-16.0182,-18.4596
-0.301676,-20.4433,4.73372,-11.1354,-7.32071,-14.6449,-12.0509,-10.3725,-21.0536
0.766439,-21.664,2.29232,-14.4923,-8.23624,-15.2553,-12.5087,-11.7458,-22.5795
1.98714,-20.7484,4.58113,-13.119,-5.79484,-13.119,-8.84659,-8.08365,-21.5114
2.75008,-18.6122,5.0389,-13.7294,-4.87931,-11.5932,-7.01554,-5.33707,-21.2062
3.81819,-19.5277,0.156088,-21.9691,-16.9337,-14.1872,-12.9665,-15.1027,-23.3424
4.42855,-20.5958,-2.59049,-28.5304,-30.8192,-15.713,-18.307,-26.3942,-23.1898
5.80184,-18.0019,0.156088,-27.0045,-32.8029,-11.288,-15.8656,-27.3097,-18.9174
8.701,-14.6449,1.07161,-25.9364,-33.2606,-7.4733,-14.4923,-29.2934,-16.3234
9.61653,-13.4242,-1.36979,-27.4623,-38.296,-10.0673,-19.2226,-38.4486,-17.2389
6.56477,-14.7975,-1.36979,-24.1054,-35.5495,-13.5768,-22.2743,-39.9745,-16.7812
4.27596,-18.1544,1.37679,-18.0019,-25.0209,-14.6449,-20.7484,-31.8873,-14.7975
4.88631,-18.6122,5.34407,-12.2035,-12.9665,-13.119,-16.0182,-21.5114,-13.5768
4.58113,-15.2553,7.63289,-8.694,-5.18448,-10.6776,-10.8302,-14.1872,-14.0346
1.68197,-16.7812,4.73372,-10.5251,-4.72672,-11.1354,-9.76212,-12.5087,-16.6286
-0.301676,-22.4269,-0.912027,-14.1872,-4.57413,-12.9665,-10.6776,-9.45694,-19.5277
1.2242,-23.8002,-3.50602,-16.3234,-4.26896,-13.4242,-10.8302,-6.55777,-20.1381
3.05526,-21.8166,-4.26896,-19.5277,-10.0673,-14.6449,-13.119,-11.5932,-17.6967
1.2242,-23.9528,-7.93106,-26.6994,-20.5958,-19.5277,-18.9174,-21.664,-15.713
-1.67497,-27.7675,-13.5768,-34.4813,-32.3451,-24.8683,-25.7838,-32.4977,-16.7812
-1.2172,-27.7675,-16.7812,-39.5167,-45.3151,-26.6994,-31.4296,-44.7047,-18.7648
1.52938,-26.5468,-16.7812,-41.5004,-53.4022,-27.0045,-35.5495,-55.691,-18.0019
2.75008,-24.8683,-11.4406,-35.5495,-47.2987,-24.8683,-33.871,-55.2333,-14.7975
2.59749,-19.07,-1.98014,-22.8847,-32.9555,-19.3751,-26.2416,-44.0944,-10.9828
3.36043,-13.882,3.81819,-13.7294,-22.8847,-16.0182,-19.3751,-34.4813,-8.08365
