EEGFp1_REF,EEGFp2_REF,EEGF3_REF,EEGF4_REF,EEGC3_REF,EEGC4_REF,EEGP3_REF,EEGP4_REF,EEGO1_REF,EEGO2_REF,EEGF7_REF,EEGF8_REF,EEGT3_REF,EEGT4_REF,EEGT5_REF,EEGT6_REF,EEGCz_REF
9.92171,14.3468,-15.8656,-28.3778,-29.4459,-15.4079,-23.495,-22.57949,-21.96914,-16.62857,-33.87099,-30.3615,45.1695,-13.57681,-28.683,-23.49502,-23.0373
5.95442,22.2813,-23.3424,-29.5985,-31.7348,-17.3915,-23.1898,-22.73208,-14.49234,-10.52506,-32.19252,-22.5795,43.491,-6.100011,-23.18984,-14.64493,-28.0726
3.05526,20.908,-26.089,-34.9391,-32.4977,-18.9174,-20.2907,-19.83291,-7.625889,-2.590492,-26.85195,-16.7812,37.0823,-0.1490878,-16.93374,-7.168125,-30.9718
7.4803,17.0933,-21.664,-39.6693,-31.277,-18.1544,-17.6967,-18.15444,-5.184484,4.12337,-24.86831,-14.3398,34.0306,4.275958,-12.5087,-0.6068511,-31.277
9.46394,19.077,-21.0536,-40.4323,-35.8546,-20.1381,-22.7321,-24.41054,-8.23624,0.3086755,-25.32607,-16.0182,31.7418,-9.914705,-11.13541,-4.268958,-33.2606
10.3795,16.1778,-29.1408,-38.296,-45.9254,-27.0045,-34.1762,-36.31239,-18.7648,-16.01822,-29.59853,-23.3424,40.5918,-24.56313,-13.27164,-20.13809,-36.1598
14.1942,15.2623,-28.5304,-31.7348,-44.3995,-28.0726,-36.7702,-41.04261,-28.53041,-31.27699,-33.7184,-29.4459,50.2049,-22.12173,-19.06997,-34.78651,-32.4977
8.39583,20.2977,-23.3424,-30.9718,-37.9909,-26.8519,-34.4813,-42.26331,-39.82191,-47.29871,-37.22792,-34.1762,32.5047,-27.61489,-31.42958,-50.19788,-28.8356
0.919027,19.2296,-28.2252,-40.1271,-40.7374,-32.0399,-37.9909,-47.90906,-52.94446,-67.13512,-43.33143,-38.7538,10.3795,-39.82191,-41.65296,-64.38854,-31.1244
6.56477,17.8563,-27.6149,-40.4323,-38.296,-30.9718,-35.5495,-46.84095,-52.94446,-73.08604,-44.55213,-33.871,12.8209,-37.99086,-42.26331,-59.50573,-27.1571
11.9053,21.2132,-14.3398,-30.2089,-28.5304,-19.8329,-25.1735,-35.54945,-44.39954,-61.48937,-40.27967,-24.5631,20.2977,-31.12441,-40.89002,-42.87366,-16.6286
7.17513,19.077,-7.16813,-25.6312,-26.8519,-12.8139,-22.1217,-26.08901,-40.89002,-45.46766,-39.66932,-24.8683,22.4339,-25.63125,-39.9745,-33.56581,-12.8139
0.766439,12.0579,-11.1354,-24.1054,-30.3615,-11.288,-24.258,-21.51138,-35.39686,-28.53041,-41.80555,-26.5468,26.096,-16.47598,-36.00721,-30.05629,-14.0346
-0.759439,12.0579,-15.2553,-19.6803,-30.3615,-10.6776,-23.495,-19.52773,-24.71572,-13.7294,-42.11072,-22.4269,20.1451,-14.64493,-33.87099,-23.34243,-14.1872
5.80184,21.2132,-16.3234,-21.664,-31.7348,-14.4923,-24.4105,-23.49502,-18.00186,-6.710362,-40.43226,-21.9691,18.4666,-18.00186,-31.12441,-14.79751,-17.0863
11.7528,24.5701,-17.2389,-30.9718,-35.5495,-20.5958,-27.4623,-29.9037,-17.23892,-6.405186,-34.32875,-23.9528,37.3875,-10.98282,-20.90102,-10.83023,-22.5795
8.701,16.6356,-17.0863,-34.6339,-35.0917,-22.1217,-27.7675,-31.58217,-19.68032,-8.846591,-26.54677,-21.8166,40.897,-0.9120266,-13.88199,-11.59317,-26.089
3.20784,11.1424,-16.3234,-34.3287,-33.5658,-22.2743,-27.9201,-32.65028,-25.78383,-15.86563,-27.15712,-19.5277,24.265,-1.980141,-19.52773,-16.01822,-27.9201
1.83455,13.2786,-18.9174,-37.0753,-36.465,-23.8002,-31.277,-36.31239,-33.41322,-26.69936,-31.27699,-18.307,24.1124,-8.083652,-26.54677,-20.29067,-28.5304
5.34407,16.7882,-19.3751,-33.108,-33.5658,-20.1381,-27.1571,-34.78651,-33.7184,-33.87099,-25.32607,-14.1872,33.4202,-10.67764,-22.12173,-19.9855,-22.7321
11.1424,18.9244,-14.9501,-24.7157,-26.2416,-17.2389,-18.307,-32.65028,-30.81923,-43.02625,-18.15444,-12.8139,31.284,-15.40786,-15.40786,-24.41054,-16.7812
11.1424,21.0606,-13.5768,-25.1735,-27.0045,-23.9528,-19.5277,-40.12708,-35.39686,-61.48937,-21.35879,-19.8329,29.4529,-22.12173,-18.7648,-37.99086,-19.8329
7.78548,23.9598,-13.119,-28.8356,-30.3615,-29.2934,-24.8683,-47.29871,-43.6366,-73.23863,-24.86831,-26.089,32.9625,-26.85195,-26.85195,-45.16248,-22.4269
9.76912,21.9761,-9.60953,-28.8356,-27.6149,-26.3942,-24.5631,-43.48401,-49.28235,-64.69372,-28.683,-24.8683,25.3331,-25.63125,-34.63392,-40.73743,-18.7648
11.6002,14.8045,-7.62589,-29.9037,-23.495,-21.2062,-21.2062,-33.10805,-48.82459,-41.80555,-34.48134,-21.3588,17.7037,-18.15444,-39.36414,-32.19252,-15.8656
