EEGFp1_REF,EEGFp2_REF,EEGF3_REF,EEGF4_REF,EEGC3_REF,EEGC4_REF,EEGP3_REF,EEGP4_REF,EEGO1_REF,EEGO2_REF,EEGF7_REF,EEGF8_REF,EEGT3_REF,EEGT4_REF,EEGT5_REF,EEGT6_REF,EEGCz_REF
-13.4242,28.0796,-4.42155,10.0743,-7.32071,8.24324,-9.76212,9.15877,-11.4406,-5.64225,-17.2389,20.908,-4.11637,18.1614,5.80184,-5.0319,-1.98014
-13.882,31.1314,-5.64225,17.0933,-9.45694,1.52938,-15.713,-2.13273,-21.3588,-18.1544,-19.8329,21.671,-11.1354,13.889,-5.33707,-19.9855,-5.79484
-16.1708,34.7935,-12.0509,22.1287,-16.3234,-3.20084,-20.5958,-10.9828,-24.5631,-23.1898,-19.07,26.8589,-13.2716,11.1424,-9.45694,-24.4105,-14.3398
-18.9174,36.0142,-15.8656,21.8236,-19.3751,-3.81119,-20.2907,-13.5768,-23.1898,-24.1054,-20.901,27.7745,-11.5932,7.93806,-7.62589,-24.7157,-16.7812
-20.5958,33.7254,-12.9665,18.6192,-12.6613,1.2242,-12.9665,-8.99918,-21.2062,-26.089,-21.3588,24.5701,-10.8302,6.86995,-8.84659,-29.9037,-8.23624
-21.0536,29.9107,-13.2716,14.4993,-8.08365,6.56477,-8.38883,-1.98014,-19.3751,-26.089,-21.3588,21.0606,-12.6613,8.54842,-13.2716,-32.9555,-2.59049
-20.901,27.1641,-20.4433,8.701,-14.6449,5.80184,-11.8983,1.52938,-15.8656,-20.901,-26.089,17.7037,-17.2389,10.8372,-10.9828,-24.5631,-9.76212
-19.07,26.5538,-26.089,4.42855,-23.8002,3.97078,-16.9337,2.59749,-10.0673,-12.3561,-29.5985,18.6192,-20.901,14.8045,-3.04826,-8.694,-19.5277
-16.476,26.8589,-26.3942,4.42855,-27.6149,3.81819,-19.5277,2.4449,-7.16813,-6.86295,-28.683,21.8236,-21.3588,19.077,-2.28532,2.90267,-25.1735
-16.9337,25.1805,-28.2252,4.27596,-31.4296,-2.28532,-25.9364,-5.0319,-14.1872,-9.45694,-32.1925,19.3821,-24.1054,17.2459,-11.4406,2.59749,-28.9882
-19.3751,23.8072,-33.7184,2.4449,-37.3805,-11.5932,-37.0753,-16.0182,-26.2416,-16.1708,-38.7538,16.0252,-29.4459,12.0579,-19.9855,-1.82755,-30.5141
-19.8329,25.0279,-36.6176,-0.606851,-42.2633,-15.4079,-45.0099,-20.5958,-35.702,-23.3424,-40.2797,18.0089,-33.2606,11.6002,-24.258,-9.45694,-32.6503
-18.7648,24.5701,-39.059,-8.08365,-51.4186,-20.4433,-54.6229,-27.1571,-47.1461,-34.4813,-43.9418,16.1778,-39.6693,9.15877,-33.871,-27.0045,-44.3995
-18.307,20.2977,-41.9581,-16.7812,-63.473,-31.8873,-67.5929,-41.9581,-63.1678,-47.1461,-50.8082,7.93806,-50.1979,-2.13273,-49.1298,-41.1952,-58.285
-19.2226,17.2459,-41.1952,-20.7484,-64.8463,-38.9064,-69.8817,-51.266,-72.6283,-55.9962,-51.1134,1.98714,-57.6747,-11.7458,-58.285,-46.6884,-59.6583
-20.7484,18.0089,-42.1107,-20.4433,-56.3014,-36.0072,-61.642,-47.6039,-70.6446,-60.2687,-49.5875,-0.301676,-59.5057,-11.5932,-57.3695,-54.0126,-51.1134
-20.2907,19.2296,-46.2306,-17.5441,-51.1134,-31.277,-55.2333,-41.8055,-66.6774,-61.642,-52.0289,-0.454263,-58.5902,-7.32071,-55.0807,-59.3531,-45.1625
-16.1708,19.3821,-46.5358,-15.8656,-53.7074,-32.4977,-54.9281,-43.1788,-66.6774,-59.9635,-50.5031,1.2242,-54.6229,-6.2526,-56.7592,-53.5548,-48.672
-12.2035,18.9244,-44.3995,-19.07,-58.1324,-36.7702,-58.285,-47.7565,-67.8981,-61.4894,-45.1625,0.613851,-50.8082,-10.5251,-58.285,-51.7238,-58.7428
-13.4242,18.6192,-45.9254,-23.1898,-58.7428,-36.9227,-60.1161,-47.4513,-67.7455,-67.5929,-45.9254,-2.89567,-53.86,-15.8656,-59.8109,-64.0834,-61.642
-17.3915,19.6873,-48.0616,-22.5795,-54.0126,-32.8029,-57.0643,-40.89,-63.0152,-67.8981,-50.3505,-4.87931,-57.8273,-17.2389,-61.642,-71.4076,-50.9608
-18.4596,19.8399,-43.1788,-20.4433,-47.4513,-30.3615,-49.8927,-34.7865,-55.2333,-62.2523,-49.8927,-5.94742,-56.1488,-18.4596,-60.7264,-63.9308,-39.5167
-14.6449,18.4666,-35.2443,-18.9174,-43.484,-28.9882,-43.9418,-31.7348,-47.9091,-55.2333,-46.078,-5.79484,-50.8082,-21.5114,-54.4703,-55.0807,-37.8383
-10.5251,18.1614,-32.3451,-14.3398,-38.6012,-22.1217,-38.1434,-26.089,-41.8055,-48.8246,-42.4159,-1.82755,-44.247,-20.2907,-45.0099,-55.5384,-35.8546
-9.60953,18.6192,-30.8192,-9.30435,-33.5658,-12.0509,-32.0399,-19.2226,-41.5004,-48.9772,-40.7374,1.83455,-42.5685,-15.4079,-42.8737,-64.6937,-26.5468
-10.3725,17.5511,-28.0726,-8.99918,-32.6503,-7.4733,-31.5822,-18.9174,-45.6202,-52.1815,-41.5004,2.29232,-45.6202,-12.6613,-45.6202,-67.8981,-19.3751
-10.9828,15.1097,-25.9364,-12.2035,-32.6503,-11.5932,-36.6176,-24.258,-50.6556,-51.7238,-42.4159,2.29232,-47.7565,-12.0509,-44.5521,-56.454,-21.664
-11.8983,15.2623,-27.3097,-14.4923,-34.7865,-20.901,-45.7728,-33.2606,-62.8627,-58.4376,-44.247,0.461263,-48.9772,-14.9501,-47.9091,-54.6229,-30.8192
-12.9665,19.2296,-33.4132,-17.3915,-44.3995,-32.1925,-59.048,-45.6202,-80.1051,-75.68,-48.0616,-5.48966,-53.4022,-24.5631,-60.879,-77.5111,-41.9581
-12.9665,21.0606,-36.0072,-20.901,-50.5031,-39.3641,-63.9308,-52.6393,-84.9879,-79.037,-48.0616,-9.30435,-58.1324,-32.6503,-66.9825,-84.6827,-44.8573
-11.5932,17.8563,-31.277,-22.7321,-46.078,-42.1107,-59.6583,-55.3859,-79.9525,-70.6446,-44.3995,-9.91471,-59.6583,-36.3124,-64.5411,-69.1188,-39.5167
-11.4406,14.8045,-27.6149,-25.4787,-43.1788,-48.5194,-57.2169,-60.7264,-77.5111,-74.1542,-44.247,-12.5087,-60.7264,-41.9581,-66.5248,-72.0179,-41.3478
-12.0509,14.9571,-28.9882,-26.8519,-44.7047,-50.9608,-54.9281,-58.1324,-66.3722,-73.2386,-46.6884,-16.476,-58.7428,-41.1952,-62.7101,-78.4266,-46.6884
-11.4406,15.8726,-30.0563,-22.4269,-42.8737,-40.89,-48.5194,-44.5521,-47.4513,-58.5902,-47.7565,-15.4079,-53.4022,-31.277,-49.2824,-66.3722,-41.8055
-12.5087,15.4149,-28.8356,-15.713,-40.1271,-30.8192,-44.0944,-34.3287,-37.6857,-49.7401,-47.9091,-9.45694,-49.4349,-24.7157,-41.9581,-55.0807,-33.7184
-14.0346,15.1097,-29.4459,-16.1708,-40.5848,-32.8029,-45.4677,-32.8029,-35.5495,-46.3832,-46.6884,-7.62589,-44.3995,-24.1054,-36.9227,-50.3505,-34.4813
-13.2716,14.1942,-30.6666,-23.495,-41.5004,-38.296,-47.7565,-32.1925,-35.8546,-40.89,-43.6366,-11.288,-38.7538,-23.3424,-32.6503,-43.484,-40.4323
-14.0346,10.5321,-34.0236,-29.7511,-45.3151,-41.1952,-52.3341,-32.0399,-44.0944,-44.5521,-44.0944,-14.9501,-41.653,-24.7157,-39.8219,-45.4677,-46.9935
-18.9174,6.41219,-40.89,-32.1925,-54.1652,-43.484,-60.879,-34.3287,-55.691,-55.3859,-49.2824,-15.713,-50.5031,-27.7675,-50.6556,-54.1652,-52.7919
-21.8166,6.86995,-42.5685,-31.7348,-57.3695,-43.6366,-63.9308,-34.1762,-61.1842,-55.0807,-52.1815,-13.2716,-54.3177,-22.7321,-50.5031,-47.6039,-51.266
-19.3751,11.1424,-36.6176,-27.4623,-51.266,-43.0263,-62.0997,-35.2443,-68.8136,-55.3859,-54.0126,-9.91471,-56.9117,-16.1708,-51.266,-41.3478,-43.3314
-17.3915,12.6683,-32.0399,-22.1217,-48.3668,-45.0099,-63.7782,-40.7374,-85.2931,-70.3395,-58.4376,-9.30435,-66.067,-19.5277,-68.2032,-54.6229,-41.9581
-16.9337,9.15877,-35.8546,-24.4105,-53.097,-47.9091,-67.4403,-43.6366,-94.1432,-77.3585,-60.1161,-11.7458,-74.4593,-24.258,-82.6991,-61.0316,-49.5875
-13.4242,6.2596,-38.296,-32.3451,-51.5712,-47.7565,-63.3204,-39.9745,-85.1405,-66.3722,-54.4703,-14.0346,-72.7809,-24.4105,-78.4266,-49.8927,-51.7238
-8.694,7.93806,-30.2089,-31.5822,-39.3641,-45.7728,-52.0289,-36.6176,-71.8653,-60.7264,-46.9935,-14.1872,-65.1515,-28.3778,-71.255,-54.4703,-42.4159
-8.54142,10.8372,-23.3424,-20.5958,-31.7348,-45.0099,-45.3151,-38.7538,-63.0152,-66.2196,-45.0099,-14.9501,-60.7264,-37.5331,-67.8981,-77.2059,-34.4813
-10.0673,10.3795,-26.089,-16.3234,-34.6339,-45.9254,-43.9418,-40.89,-53.097,-64.8463,-48.672,-17.5441,-59.048,-44.5521,-60.4213,-82.3939,-36.0072
-8.23624,8.09065,-30.9718,-20.5958,-37.5331,-43.7892,-42.1107,-37.2279,-41.1952,-54.0126,-52.6393,-18.4596,-57.0643,-44.3995,-52.6393,-70.1869,-38.7538
-5.94742,9.46394,-30.5141,-21.2062,-33.2606,-36.9227,-37.0753,-29.2934,-31.5822,-43.1788,-50.6556,-14.7975,-53.7074,-38.4486,-45.9254,-58.8954,-33.871
-6.10001,12.5157,-25.4787,-19.2226,-25.6312,-31.4296,-31.4296,-24.258,-28.5304,-37.0753,-43.0263,-10.9828,-48.8246,-32.3451,-36.7702,-48.9772,-25.1735
-8.08365,13.126,-24.258,-21.3588,-24.258,-33.871,-33.4132,-26.3942,-31.8873,-36.7702,-38.4486,-11.4406,-43.1788,-28.8356,-27.6149,-43.0263,-25.3261
-10.3725,12.8209,-28.3778,-21.5114,-29.7511,-38.296,-40.1271,-30.8192,-36.9227,-38.4486,-39.2116,-10.8302,-38.6012,-24.1054,-25.9364,-41.653,-33.4132
-11.7458,14.0416,-31.7348,-15.5605,-36.465,-38.7538,-45.7728,-34.1762,-43.0263,-42.1107,-41.1952,-6.55777,-35.702,-19.3751,-30.0563,-42.4159,-38.296
-10.0673,14.4993,-31.4296,-13.882,-39.2116,-39.5167,-50.5031,-38.9064,-52.6393,-49.5875,-39.3641,-6.40519,-35.5495,-18.1544,-32.8029,-44.0944,-36.9227
-5.64225,13.889,-26.089,-16.7812,-33.7184,-39.059,-48.672,-37.6857,-56.3014,-47.2987,-31.8873,-7.93106,-35.3969,-13.5768,-29.5985,-33.871,-31.8873
-2.4379,14.3468,-18.9174,-13.7294,-25.1735,-32.8029,-42.1107,-28.3778,-52.3341,-35.0917,-26.089,-3.35343,-31.277,-4.72672,-26.089,-15.5605,-24.8683
-2.28532,14.6519,-16.1708,-8.694,-25.1735,-31.1244,-41.8055,-27.6149,-56.6066,-40.1271,-28.9882,-1.52238,-32.6503,-5.64225,-36.9227,-21.0536,-22.5795
-3.65861,15.1097,-20.4433,-12.6613,-34.3287,-42.7211,-49.5875,-41.3478,-66.8299,-59.2006,-36.3124,-10.0673,-42.5685,-19.9855,-56.9117,-46.3832,-32.8029
-5.33707,15.72,-24.7157,-18.307,-39.9745,-52.9445,-51.8763,-49.7401,-64.9989,-64.236,-38.6012,-18.4596,-48.3668,-33.7184,-68.8136,-58.285,-43.7892
-7.01554,12.8209,-20.5958,-16.476,-33.871,-48.5194,-41.8055,-43.0263,-54.0126,-57.8273,-35.2443,-21.8166,-47.7565,-40.4323,-70.7972,-61.4894,-34.9391
-7.77848,7.78548,-14.4923,-15.8656,-25.4787,-43.1788,-32.0399,-35.3969,-47.1461,-55.0807,-34.1762,-28.2252,-46.9935,-44.7047,-65.9144,-65.3041,-19.5277
-7.77848,4.58113,-15.8656,-22.8847,-25.6312,-48.2142,-32.6503,-33.7184,-46.8409,-55.5384,-38.9064,-35.0917,-46.078,-48.2142,-55.0807,-62.2523,-23.495
-8.84659,5.49666,-22.1217,-26.3942,-29.4459,-50.3505,-35.702,-28.2252,-43.7892,-48.8246,-40.89,-32.9555,-42.2633,-45.6202,-42.4159,-53.7074,-35.2443
-9.76212,9.46394,-23.1898,-21.0536,-24.7157,-39.9745,-28.8356,-15.713,-32.0399,-31.8873,-33.4132,-25.7838,-33.5658,-38.7538,-27.7675,-40.5848,-31.7348
-8.23624,10.8372,-17.3915,-17.6967,-13.882,-27.3097,-16.0182,-6.55777,-20.5958,-20.1381,-25.0209,-23.1898,-24.8683,-37.5331,-14.4923,-31.4296,-18.0019
-5.79484,8.24324,-12.8139,-19.2226,-10.3725,-19.2226,-11.7458,-4.72672,-19.8329,-25.1735,-22.7321,-23.8002,-19.8329,-41.653,-10.5251,-40.2797,-9.91471
-5.79484,6.56477,-13.7294,-19.2226,-17.0863,-14.6449,-15.8656,-3.50602,-23.495,-33.5658,-23.3424,-22.1217,-16.9337,-41.0426,-12.3561,-56.6066,-12.6613
-6.86295,6.71736,-17.5441,-19.07,-24.258,-15.713,-19.07,-3.20084,-22.4269,-32.3451,-24.5631,-18.4596,-15.713,-34.7865,-10.2199,-58.285,-22.5795
-5.33707,7.4803,-18.307,-18.1544,-21.9691,-19.3751,-17.5441,-6.40519,-18.0019,-28.5304,-25.3261,-12.6613,-15.8656,-27.0045,-6.55777,-47.6039,-26.8519
-5.33707,9.46394,-16.7812,-11.288,-17.0863,-21.2062,-18.1544,-12.9665,-19.2226,-32.1925,-26.2416,-4.87931,-20.1381,-18.307,-11.7458,-42.2633,-19.9855
-8.08365,11.6002,-17.3915,-5.64225,-19.8329,-27.9201,-27.6149,-24.5631,-27.6149,-40.4323,-29.4459,-0.759439,-28.3778,-13.2716,-23.3424,-48.9772,-16.9337
-8.99918,11.4476,-17.3915,-11.1354,-27.3097,-43.6366,-39.059,-37.6857,-34.6339,-44.7047,-32.0399,-3.20084,-32.6503,-14.9501,-30.6666,-52.1815,-27.1571
-9.91471,9.92171,-19.8329,-20.901,-35.0917,-57.9799,-47.4513,-47.6039,-41.9581,-48.8246,-34.7865,-7.16813,-36.6176,-17.2389,-39.059,-47.4513,-41.1952
-13.5768,9.46394,-27.0045,-22.5795,-41.653,-60.1161,-53.4022,-50.6556,-53.097,-57.2169,-40.7374,-6.71036,-48.9772,-15.5605,-53.097,-49.5875,-44.247
-14.7975,11.4476,-28.9882,-17.6967,-43.3314,-52.1815,-54.9281,-46.2306,-61.1842,-60.2687,-44.8573,-1.67497,-59.3531,-9.30435,-62.2523,-48.3668,-36.6176
-11.5932,15.4149,-23.9528,-16.1708,-38.6012,-47.4513,-53.097,-43.6366,-61.3368,-56.3014,-42.5685,1.83455,-54.4703,-4.72672,-61.0316,-36.1598,-30.9718
-9.60953,14.8045,-20.5958,-20.2907,-31.7348,-50.9608,-48.0616,-44.3995,-51.266,-50.8082,-37.0753,-0.301676,-41.3478,-7.16813,-49.5875,-28.9882,-32.9555
-9.15177,9.31135,-21.664,-22.7321,-28.5304,-53.86,-40.5848,-39.059,-29.5985,-37.5331,-30.8192,-5.18448,-28.8356,-11.4406,-28.8356,-21.664,-37.2279
-6.86295,6.71736,-19.9855,-20.901,-25.6312,-49.7401,-31.7348,-27.3097,-5.33707,-18.4596,-21.9691,-7.62589,-18.1544,-12.6613,-7.16813,-11.5932,-35.702
-3.96378,7.02254,-13.119,-21.0536,-17.3915,-42.2633,-20.5958,-15.8656,8.39583,-6.86295,-12.8139,-7.77848,-11.288,-13.2716,3.66561,-12.9665,-29.2934
-2.13273,5.95442,-8.54142,-24.5631,-8.23624,-36.465,-10.5251,-6.40519,14.0416,-1.2172,-8.99918,-9.15177,-3.20084,-15.2553,8.85359,-16.1708,-25.6312
