EEGFp2_REF,EEGF4_REF,EEGC4_REF,EEGP4_REF,EEGO2_REF,EEGF8_REF,EEGT4_REF,EEGT6_REF,EEGCz_REF
97.20191,106.5098,106.5098,115.2073,110.7822,107.8831,107.7305,113.071,122.6841
98.11744,105.2891,107.2727,115.3599,108.4934,105.7468,106.8149,107.8831,124.0574
102.5425,109.4089,113.5288,118.7168,111.24,108.646,109.2563,107.4253,122.8367
99.49073,108.7986,109.7141,114.4443,106.6624,110.0193,106.6624,107.2727,116.1228
98.72779,104.8313,107.8831,112.3081,105.7468,109.8667,107.7305,102.3899,116.2754
100.7114,106.2046,106.3572,111.3926,105.8994,109.7141,109.8667,105.7468,119.022
100.2537,103.458,106.2046,111.3926,108.1882,109.7141,108.9512,106.6624,116.8857
101.7795,106.052,111.8503,116.2754,113.071,110.7822,110.9348,108.646,118.1064
100.7114,108.9512,111.3926,115.8176,109.2563,109.2563,111.8503,111.5452,116.2754
101.7795,108.9512,114.1392,117.4961,111.24,111.5452,116.5806,112.0029,117.0383
100.7114,108.4934,112.4607,115.2073,112.1555,112.6133,116.1228,116.428,117.1909
97.81226,103.7632,108.4934,110.0193,109.8667,110.7822,110.9348,113.2236,113.6814
100.5588,106.8149,112.4607,113.071,114.9021,113.834,113.2236,114.7495,115.8176
99.49073,109.5615,111.8503,113.9866,115.9702,114.2917,115.3599,119.7849,114.2917
99.94849,110.9348,115.665,117.1909,118.5642,115.2073,118.259,117.9538,114.5969
101.3218,115.8176,117.3435,119.4797,116.8857,116.5806,117.8013,120.3953,117.8013
101.1692,112.9185,116.1228,120.0901,115.665,115.3599,116.1228,120.0901,119.1745
103.3054,111.5452,118.5642,124.0574,121.3108,116.1228,119.6323,121.0056,121.7685
100.864,111.3926,115.0547,121.7685,119.3271,115.3599,117.3435,120.7004,119.1745
99.7959,110.7822,115.5124,121.616,119.7849,114.4443,114.1392,116.1228,119.022
97.3545,110.3245,113.3762,119.9375,118.7168,111.8503,110.6296,118.5642,119.022
95.06568,106.9675,112.3081,119.1745,117.9538,111.24,112.1555,117.8013,116.7331
99.33814,111.8503,119.3271,125.1255,122.6841,115.9702,120.3953,118.7168,122.0737
99.33814,112.9185,116.1228,121.1582,116.8857,114.4443,117.4961,118.8694,121.9211
99.49073,107.2727,112.4607,116.1228,111.6977,111.8503,111.8503,111.3926,117.8013
97.96485,105.5942,109.2563,113.9866,108.7986,109.7141,110.1719,111.24,115.0547
93.08204,103.1528,108.4934,114.9021,111.0874,106.2046,109.8667,113.2236,116.5806
95.67603,108.9512,116.2754,121.9211,120.3953,111.8503,114.4443,119.4797,124.6677
98.27002,114.4443,116.5806,121.0056,117.1909,119.1745,115.0547,122.6841,121.616
99.33814,112.3081,116.2754,117.9538,115.0547,119.7849,115.3599,117.1909,113.834
95.67603,106.3572,111.6977,113.3762,117.0383,113.9866,117.0383,121.3108,109.7141
