EEGFp1_REF,EEGF3_REF,EEGC3_REF,EEGP3_REF,EEGO1_REF,EEGF7_REF,EEGT3_REF,EEGT5_REF,EEGCz_REF
91.251,120.5478,135.3489,124.8203,129.5505,121.0056,111.8503,112.9185,122.6841
86.2156,117.8013,132.2971,120.2427,124.3625,115.8176,106.052,104.0684,124.0574
84.6897,115.3599,129.7031,117.3435,125.8884,121.3108,107.5779,104.8313,122.8367
85.6052,109.2563,121.3108,112.4607,126.041,121.1582,105.4416,107.4253,116.1228
89.8777,108.0356,123.5996,113.071,117.6487,116.8857,104.9839,100.5588,116.2754
93.5398,113.9866,128.635,118.5642,123.447,113.071,105.7468,104.9839,119.022
93.6924,112.9185,129.3979,118.5642,124.8203,117.4961,108.1882,107.8831,116.8857
89.7251,112.1555,131.9919,120.853,126.6514,123.447,112.7659,110.1719,118.1064
84.0794,110.6296,128.0246,119.6323,127.1091,117.0383,108.7986,111.24,116.2754
88.1992,112.7659,130.466,118.5642,121.616,117.4961,109.7141,109.1038,117.0383
90.6406,115.8176,130.466,118.5642,126.8039,115.8176,110.6296,114.1392,117.1909
86.5208,107.4253,124.6677,113.834,124.5151,112.0029,107.4253,110.477,113.6814
84.6897,107.1201,126.1936,115.8176,124.6677,119.022,110.477,110.7822,115.8176
81.1802,111.0874,124.5151,115.3599,125.8884,120.0901,107.5779,111.3926,114.2917
83.3164,109.4089,124.3625,112.9185,119.3271,118.8694,103.3054,102.2373,114.5969
86.9785,108.0356,122.9892,114.2917,125.2781,114.1392,100.7114,106.3572,117.8013
84.6897,106.9675,123.9048,114.9021,126.9565,112.6133,101.3218,110.477,119.1745
83.9268,110.9348,130.0083,119.7849,129.7031,118.8694,106.5098,112.6133,121.7685
85.9104,110.3245,126.1936,120.0901,131.0764,114.9021,103.3054,110.9348,119.1745
88.3518,108.4934,126.3462,119.3271,124.6677,115.0547,102.8477,105.5942,119.022
84.3845,109.8667,127.2617,120.7004,130.3135,116.5806,103.6106,112.4607,119.022
79.6543,107.7305,127.2617,119.9375,130.1609,114.9021,104.3735,112.3081,116.7331
82.2483,112.1555,133.9756,125.5832,129.3979,119.022,111.24,111.6977,122.0737
82.2483,112.4607,131.5342,124.2099,128.9402,115.8176,107.4253,112.0029,121.9211
82.0957,104.3735,127.5669,117.3435,119.4797,111.6977,101.1692,103.6106,117.8013
84.8423,101.0166,124.3625,116.428,121.7685,108.7986,99.7959,104.8313,115.0547
87.4363,105.5942,128.0246,119.6323,126.041,114.4443,105.4416,109.5615,116.5806
86.5208,117.8013,138.7058,127.4143,134.5859,126.041,115.5124,119.022,124.6677
79.8069,114.9021,131.3816,122.5315,137.0273,118.7168,109.5615,121.1582,121.616
81.9431,103.1528,122.0737,110.477,125.4306,114.1392,103.0002,109.5615,113.834
89.7251,103.0002,119.9375,107.1201,129.3979,118.259,105.2891,112.9185,109.7141
91.0984,107.5779,125.2781,112.0029,135.5014,122.0737,112.3081,121.0056,109.5615
90.6406,117.9538,139.3161,126.4988,143.1308,128.0246,121.616,128.1772,118.1064
88.0466,118.259,137.4851,129.5505,146.1826,124.3625,116.7331,127.4143,118.7168
85.7578,107.4253,128.9402,121.0056,132.7549,121.7685,111.5452,114.4443,115.2073
82.4009,104.5261,124.6677,117.0383,129.0928,117.9538,108.7986,110.477,113.9866
81.3328,104.6787,126.4988,117.4961,128.7876,116.428,107.5779,109.1038,113.071
86.2156,110.0193,135.654,124.3625,134.8911,124.8203,114.5969,116.7331,118.7168
86.6734,111.8503,133.3652,123.447,138.8584,122.6841,113.9866,122.9892,120.2427
84.6897,110.0193,131.229,117.8013,128.1772,119.4797,112.0029,113.834,119.9375
83.1638,111.24,128.635,114.7495,127.8721,117.0383,109.5615,112.7659,116.428
83.9268,106.6624,124.5151,111.24,129.8557,117.6487,109.4089,115.0547,108.1882
90.9458,109.4089,132.2971,119.1745,142.5205,130.9238,122.6841,127.8721,112.0029
92.7769,115.5124,135.1963,125.8884,153.9646,134.2807,126.1936,137.3325,118.1064
89.7251,116.2754,136.7221,124.9729,141.1472,128.635,119.4797,122.3789,122.0737
84.6897,113.9866,134.5859,122.2263,133.9756,118.259,111.6977,114.1392,121.1582
79.1966,105.5942,126.6514,114.2917,127.4143,110.7822,106.052,110.6296,112.1555
79.5017,106.8149,128.635,115.3599,125.5832,116.7331,108.9512,110.0193,109.8667
84.3845,110.477,129.0928,119.7849,131.5342,118.5642,108.4934,112.4607,112.3081
92.0139,111.0874,133.2126,123.9048,131.3816,123.9048,113.071,112.7659,120.3953
91.0984,116.7331,138.7058,129.2453,136.1118,126.041,117.6487,119.4797,127.7195
82.2483,114.1392,136.1118,124.6677,126.3462,116.5806,109.1038,110.1719,124.3625
82.2483,112.0029,136.417,123.447,122.3789,115.5124,106.6624,104.6787,123.1418
88.5044,115.5124,136.417,127.4143,138.5532,120.5478,112.0029,118.4116,123.447
92.7769,118.1064,140.6894,129.7031,142.5205,129.3979,119.1745,122.3789,125.5832
86.9785,117.1909,138.4006,127.5669,139.4687,128.0246,118.5642,120.5478,124.3625
81.3328,109.1038,129.5505,118.7168,129.2453,119.022,111.3926,112.0029,117.0383
87.2837,111.24,132.2971,118.5642,125.2781,121.1582,108.9512,106.8149,118.259
89.1148,116.428,133.823,122.8367,131.5342,123.5996,106.9675,111.3926,120.853
86.9785,115.2073,138.5532,127.2617,134.8911,128.4824,115.3599,116.5806,122.2263
85.3001,114.7495,140.0791,129.5505,144.8093,124.9729,118.4116,124.5151,120.2427
83.469,107.7305,130.466,120.5478,137.0273,115.3599,106.8149,115.9702,112.1555
82.7061,105.4416,127.2617,115.665,121.3108,117.4961,102.2373,104.0684,111.6977
80.875,107.5779,124.8203,113.834,115.2073,113.834,96.89673,99.18555,112.4607
86.2156,108.7986,129.3979,114.7495,108.9512,114.4443,96.74415,92.62428,116.1228
88.9622,112.7659,134.2807,120.5478,115.5124,118.5642,101.4744,98.5752,121.9211
79.1966,107.5779,128.9402,118.259,115.665,111.8503,99.49073,98.72779,119.3271
74.6189,103.6106,126.3462,115.8176,113.6814,109.2563,98.42261,95.37086,117.4961
77.2129,103.7632,122.3789,114.7495,117.9538,108.0356,94.60792,98.42261,115.665
77.6707,104.9839,127.2617,117.1909,115.3599,112.4607,98.5752,97.20191,118.5642
75.0767,110.1719,132.9074,122.5315,120.5478,115.9702,101.7795,101.627,122.8367
77.6707,105.1365,126.8039,119.1745,118.259,113.6814,95.82862,98.42261,119.022
84.0794,101.1692,126.3462,119.4797,114.4443,115.0547,98.5752,95.82862,118.7168
80.2647,101.9321,125.2781,119.4797,118.259,109.4089,98.88038,101.1692,117.8013
76.45,103.1528,128.3298,118.259,116.2754,111.24,99.49073,101.0166,118.5642
79.8069,108.7986,132.9074,122.5315,123.447,117.1909,103.6106,106.3572,121.9211
79.8069,106.8149,130.3135,120.7004,123.2944,114.7495,102.2373,103.9158,119.7849
76.7551,105.2891,131.8393,119.4797,119.9375,116.1228,101.1692,101.3218,121.3108
74.1612,107.1201,129.0928,118.8694,122.3789,113.2236,95.52344,105.5942,121.4634
79.044,108.9512,131.3816,120.2427,116.8857,113.834,96.59156,101.0166,122.8367
